1015,Краснофлотский 
1015,Центральный 
1035,Калининский 
1035,Ленинский 
1035,Московский 
1038,Калининский 
1038,Курчатовский 
1038,Ленинский 
1038,Металлургический 
1038,Советский
1038,Тракторозаводский 
1038,Центральный
1042,Зашекснинский
1042,Заягорбский
1042,Индустриальный
1042,Северный
1050,Железнодорожный 
1050,Ингодинский 
1050,Центральный 
1050,Черновский
1105,Дзержинский 
1105,Заволжский 
1105,Кировский 
1105,Красноперекопский 
1105,Ленинский 
1105,Фрунзенский
